x,y
4.0251203,-6.302742
-11.752931,0.82991725
2.266053,-5.494023
-13.203978,2.0722425
9.718925,1.9927517
4.8518543,-4.234289
0.07232494,5.2948313
0.8278025,6.83552
9.376928,0.26906508
5.5437965,-5.179833
10.783689,-0.2632992
5.033024,-5.356456
5.0330215,-5.356355
4.7369237,-6.387621
8.495345,1.1028862
4.1026273,-5.909591
-9.023227,-0.5268662
9.202775,-3.9359994
5.3229547,-1.0921979
-5.951233,7.4162025
9.447172,-0.062139858
8.095631,3.6229928
4.596365,-4.6212783
7.1549053,-2.5385776
8.060775,-1.1005088
9.55875,0.48391786
6.9594355,-6.0398154
8.426623,-3.71498
9.532812,0.47696832
9.202778,-3.9360008
9.7668705,-0.31489268
3.584927,8.36016
-10.054458,0.16754895
10.053147,0.032041002
7.8563066,-0.43181482
10.020011,0.21267186
7.998007,-0.5537766
1.2570779,-6.0379806
7.19424,-0.026898526
7.3817015,-5.416472
-4.015158,-5.6759815
9.019681,3.1898699
9.766163,-0.31482252
7.495124,4.8724527
9.019671,3.1898947
1.9713105,-7.0252185
6.155752,6.0983667
3.7527535,8.743728
6.1955156,0.14525737
4.0226502,-0.35108814
2.3586893,-3.6610842
-10.603168,3.314722
3.3993616,1.1060363
-6.754948,3.701754
-11.857505,1.5917456
2.9211745,-5.44731
3.591851,8.371363
2.6561718,8.75521
9.608015,-1.9565257
-9.632498,2.938411
3.75275,8.743731
-8.620872,2.6641066
-9.564957,0.83236253
0.0095322,-5.6471567
-4.2530766,6.9544744
-7.4293795,-0.4385467
0.95601386,-5.1466618
4.85949,0.14335427
6.195511,0.14540942
-3.8755221,-3.2957098
-5.3167825,2.9797103
-11.15399,1.0535651
6.3487244,6.352327
-12.70805,2.2269816
5.3229485,-1.0921993
-11.311655,2.7982314
6.1146064,6.235889
3.2088933,9.499053
0.6878738,6.5343876
-10.66456,2.2394278
-8.058914,2.6947725
8.292524,2.6343544
6.440595,6.269031
-9.697376,2.531325
2.7288253,8.877464
-10.664628,2.2394388
8.7553425,-5.0145693
2.8247585,8.33011
9.608012,-1.9565252
-2.4386866,-5.053994
3.208894,9.499054
-12.037093,0.27690634
7.856303,-0.43181175
-1.9171228,-5.145483
-2.669862,-2.2139788
-5.5743093,1.6613146
-11.568683,2.7500198
-10.681741,3.3231375
-10.003429,3.534849
2.6817179,-7.486462
-7.4982734,2.71154
7.6111236,-1.0270782
8.107394,-1.0492477
7.6110473,-1.0273649
-3.2195456,1.8450272
6.1584487,6.0950866
0.9890727,-5.410706
-11.218012,0.08038908
2.6762862,-6.330435
2.673853,-1.3532917
-9.84013,0.64574325
5.5958433,7.8062596
-9.306216,-0.83965856
-0.8380837,-4.1921587
-3.3308487,-5.1823025
-4.602537,7.956354
1.0373214,-5.855513
-6.4785104,-2.2391806
-8.137021,0.23018155
-2.889707,-2.0988412
-2.726746,-4.7027993
-8.3757,1.8523728
-8.375705,1.8523693
3.0537398,-1.0480831
1.8189172,2.6012504
-9.37345,0.46079436
0.9429401,1.6381364
-9.37345,0.46079397
-9.786,-0.31592745
2.8743753,-6.212674
-1.0146286,3.3583972
-7.664581,-1.1052834
6.342358,-5.3065963
10.306228,1.0406387
-2.9949942,-4.1247773
-3.8755393,-3.295707
-1.0146295,3.3583958
-1.9659847,-0.18325782
3.7290723,-4.22928
-0.43197137,0.050619725
0.6852996,-0.14245367
-8.505364,-1.1223704
-6.0706472,2.875411
1.8378264,-0.49206015
-3.649398,-2.0836036
0.04140105,5.0748744
1.6284308,3.5907056
1.4952497,0.30797574
0.82539064,2.850031
-0.11425199,4.48542
-4.602537,7.956354
1.6302364,3.5912988
1.6284323,3.5907063
3.2752934,1.8304197
6.935361,5.308168
-6.813606,2.8549929
1.3973359,3.913715
1.8152195,-0.086502805
3.275258,1.8303909
0.9429383,1.6381358
1.8189183,2.601251
0.92929566,2.0305285
1.8189169,2.601251
5.3229556,-1.0922004
6.440877,6.268965
2.6763139,-6.330442
-2.4417303,-1.0487404
-5.625977,-2.8839593
-7.7955556,-1.2775491
-8.501693,-0.13559528
-4.602537,7.9563537
-0.6511478,4.003425
6.552023,-0.50754035
5.5986595,-2.903624
3.0095382,-6.825102
5.136382,-3.7184753
-7.664896,-1.1056254
10.736188,1.1052957
3.5339496,-6.119268
2.6736615,-2.7969263
2.765788,-4.3123407
-7.604198,2.158856
3.2722645,-7.482839
2.9273415,8.881621
2.565929,-0.31851923
2.5659287,-0.31852034
-12.06512,2.2708406
-4.63013,-4.759262
-4.629971,-4.759523
1.6312879,-4.55119
4.1597195,7.6475973
-5.0584803,-5.0501595
1.8477906,-8.23641
-9.023225,-0.5268644
2.8248036,8.330182
-11.508296,1.7382151
-11.508298,1.7382172
2.5098155,-0.061109744
0.5735299,-0.7722358
-4.8970103,-5.2679157
